Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-01-01,CUST001,Male,29,Clothing,3,50,150
2,2023-01-01,CUST002,Male,48,Beauty,1,30,30
3,2023-01-01,CUST003,Female,25,Electronics,3,300,900
4,2023-01-02,CUST004,Male,48,Electronics,1,300,300
5,2023-01-02,CUST005,Male,60,Electronics,4,500,2000
6,2023-01-02,CUST006,Male,39,Clothing,4,300,1200
7,2023-01-03,CUST007,Female,25,Electronics,4,500,2000
8,2023-01-03,CUST008,Female,43,Beauty,2,25,50
9,2023-01-03,CUST009,Female,62,Electronics,2,300,600
10,2023-01-04,CUST010,Male,37,Clothing,4,25,100
11,2023-01-04,CUST011,Female,43,Clothing,3,300,900
12,2023-01-05,CUST012,Male,63,Electronics,3,500,1500
13,2023-01-05,CUST013,Male,60,Electronics,1,300,300
14,2023-01-05,CUST014,Female,21,Electronics,3,300,900
15,2023-01-06,CUST015,Male,38,Electronics,3,500,1500
16,2023-01-06,CUST016,Female,37,Beauty,2,50,100
17,2023-01-06,CUST017,Male,55,Clothing,3,300,900
18,2023-01-07,CUST018,Female,51,Beauty,3,50,150
19,2023-01-07,CUST019,Female,62,Clothing,1,50,50
20,2023-01-07,CUST020,Female,43,Clothing,4,50,200
21,2023-01-08,CUST021,Female,25,Beauty,4,50,200
22,2023-01-08,CUST022,Female,55,Beauty,2,25,50
23,2023-01-09,CUST023,Female,38,Electronics,2,300,600
24,2023-01-09,CUST024,Female,52,Electronics,1,300,300
25,2023-01-09,CUST025,Male,34,Clothing,2,300,600
26,2023-01-10,CUST026,Male,63,Clothing,1,50,50
27,2023-01-10,CUST027,Female,58,Clothing,4,25,100
28,2023-01-10,CUST028,Female,57,Electronics,4,500,2000
29,2023-01-11,CUST029,Male,51,Clothing,1,50,50
30,2023-01-11,CUST030,Female,51,Beauty,4,25,100
31,2023-01-11,CUST031,Male,19,Clothing,3,25,75
32,2023-01-12,CUST032,Male,27,Clothing,3,300,900
33,2023-01-12,CUST033,Male,41,Clothing,4,25,100
34,2023-01-13,CUST034,Male,22,Beauty,1,50,50
35,2023-01-13,CUST035,Female,42,Clothing,3,50,150
36,2023-01-13,CUST036,Male,24,Clothing,3,300,900
37,2023-01-14,CUST037,Male,51,Electronics,4,500,2000
38,2023-01-14,CUST038,Female,42,Clothing,2,50,100
39,2023-01-14,CUST039,Male,28,Clothing,2,300,600
40,2023-01-15,CUST040,Female,47,Electronics,4,300,1200
41,2023-01-15,CUST041,Female,46,Electronics,4,500,2000
42,2023-01-15,CUST042,Male,42,Clothing,3,50,150
43,2023-01-16,CUST043,Male,21,Beauty,1,25,25
44,2023-01-16,CUST044,Male,36,Electronics,1,500,500
45,2023-01-17,CUST045,Female,39,Electronics,3,500,1500
46,2023-01-17,CUST046,Male,24,Beauty,3,30,90
47,2023-01-17,CUST047,Male,38,Electronics,1,500,500
48,2023-01-18,CUST048,Female,39,Electronics,2,300,600
49,2023-01-18,CUST049,Female,45,Electronics,2,300,600
50,2023-01-18,CUST050,Male,44,Clothing,1,50,50
51,2023-01-19,CUST051,Female,43,Electronics,4,500,2000
52,2023-01-19,CUST052,Female,18,Clothing,4,300,1200
53,2023-01-19,CUST053,Female,64,Beauty,3,50,150
54,2023-01-20,CUST054,Female,21,Beauty,2,30,60
55,2023-01-20,CUST055,Male,55,Clothing,4,50,200
56,2023-01-21,CUST056,Male,25,Clothing,4,300,1200
57,2023-01-21,CUST057,Female,34,Electronics,4,300,1200
58,2023-01-21,CUST058,Female,29,Beauty,1,30,30
59,2023-01-22,CUST059,Male,29,Beauty,3,50,150
60,2023-01-22,CUST060,Female,62,Clothing,3,50,150
61,2023-01-22,CUST061,Male,20,Clothing,2,25,50
62,2023-01-23,CUST062,Male,23,Electronics,4,500,2000
63,2023-01-23,CUST063,Female,35,Electronics,3,500,1500
64,2023-01-24,CUST064,Female,32,Clothing,1,50,50
65,2023-01-24,CUST065,Female,23,Beauty,1,25,25
66,2023-01-24,CUST066,Female,32,Clothing,1,50,50
67,2023-01-25,CUST067,Female,35,Beauty,4,30,120
68,2023-01-25,CUST068,Male,59,Beauty,1,30,30
69,2023-01-25,CUST069,Female,64,Beauty,4,25,100
70,2023-01-26,CUST070,Male,62,Electronics,3,300,900
71,2023-01-26,CUST071,Male,48,Beauty,1,50,50
72,2023-01-26,CUST072,Female,52,Electronics,4,300,1200
73,2023-01-27,CUST073,Male,21,Electronics,2,500,1000
74,2023-01-27,CUST074,Female,18,Clothing,3,50,150
75,2023-01-28,CUST075,Male,47,Beauty,3,50,150
76,2023-01-28,CUST076,Female,62,Electronics,4,500,2000
77,2023-01-28,CUST077,Female,62,Beauty,4,50,200
78,2023-01-29,CUST078,Male,62,Electronics,3,500,1500
79,2023-01-29,CUST079,Male,18,Beauty,4,50,200
80,2023-01-29,CUST080,Male,35,Clothing,1,25,25
81,2023-01-30,CUST081,Female,47,Beauty,4,30,120
82,2023-01-30,CUST082,Female,45,Beauty,3,30,90
83,2023-01-30,CUST083,Female,52,Clothing,1,25,25
84,2023-01-31,CUST084,Male,54,Clothing,4,50,200
85,2023-01-31,CUST085,Male,39,Beauty,1,30,30
86,2023-02-01,CUST086,Male,48,Electronics,4,300,1200
87,2023-02-01,CUST087,Female,55,Electronics,3,300,900
88,2023-02-01,CUST088,Female,35,Beauty,3,30,90
89,2023-02-02,CUST089,Female,56,Clothing,1,25,25
90,2023-02-02,CUST090,Male,33,Beauty,3,25,75
91,2023-02-02,CUST091,Female,19,Clothing,3,300,900
92,2023-02-03,CUST092,Female,33,Electronics,1,500,500
93,2023-02-03,CUST093,Male,59,Electronics,1,500,500
